391262	351806
391263	351806
391264	40296
391264	40299
391264	40301
391264	169444
391264	248708
391264	250486
391264	328809
391264	328810
391264	352402
391264	391265
391265	40301
391265	169444
391265	248708
391265	328809
391265	328810
391265	352402
391265	391264
391266	38072
391266	139892
391266	352762
391267	16467
391267	43974
391267	87317
391267	88019
391267	136747
391267	162387
391267	167631
391267	300513
391267	352762
391267	394053
391269	328479
391269	372436
391269	372461
391269	372462
391269	381428
391269	381803
391269	381807
391269	399295
391269	399757
391270	328479
391270	328483
391270	349870
391270	351417
391270	365732
391270	369941
391270	372436
391270	372461
391270	400484
391270	402659
391271	52192
391271	69582
391271	74196
391271	74201
391271	118567
391271	372973
391272	52192
391272	74196
391272	74198
391272	74201
391272	118567
391272	372973
391272	403688
391274	387928
391274	387934
391274	388858
391274	388861
391274	388862
391274	388863
391274	388864
391274	388866
391274	388910
391274	396084
391275	381330
391275	388861
391275	388863
391275	388865
391275	388968
391275	391276
391275	391734
391275	391737
391275	397159
391275	400726
391276	377299
391276	387929
391276	388861
391276	388865
391276	388968
391276	389261
391276	391275
391276	391734
391276	397159
391276	400726
391277	255539
391277	342370
391278	350630
391279	4459
391279	26808
391279	66428
391279	84103
391279	87708
391279	109269
391279	109273
391279	174847
391279	351962
391279	351963
391280	114506
391281	89
391281	354164
391282	37693
391282	87155
391282	354164
391282	391283
391282	391284
391282	391285
391282	399021
391282	402159
391283	354164
391283	391282
391283	391284
391283	391285
391283	399021
391284	354164
391284	391282
391284	391283
391284	391285
391285	523
391285	354164
391285	391282
391285	391283
391285	391284
391287	139858
391287	199197
391287	203935
391287	227336
391287	362008
391288	56949
391288	177949
391288	187665
391288	187667
391288	235194
391288	235195
391288	364801
391289	86868
391289	86873
391289	107713
391289	139506
391289	148748
391289	209795
391289	284503
391289	327016
391289	327017
391289	359179
391290	281155
391290	281156
391290	293710
391290	311437
391290	335021
391290	365174
391290	365175
391290	380665
391291	98314
391291	106840
391291	107094
391291	132682
391291	146123
391291	178717
391291	195860
391291	267245
